#;"Дата створення";Підрозділ;Автор;"Статья руху коштів";Контрагент;"Дата оплати";"Сума до сплати";Status;Коментар;"Призначення платежу"
1872;"02.07.2018 12:57";"43_ Баумана, 26";"w w";"Технічне обслуговування холодильного обладнання";"КРІОТЕХСЕРВІС ПП";"03.07.2018 00:00";2125,62;Оплачена;;"Оплата за тех. обслуговування холод. обладнання (Баумана), зг. рах. № 1020 від 25.06.2018 р. в т.ч. ПДВ 354,27 грн. "
1871;"02.07.2018 12:56";"93_вул. Автозаводська, 99/4, прим. №89 (в літ.А)";"w w";;"КРІОТЕХСЕРВІС ПП";"03.07.2018 00:00";774,00;"Доработка/ отменена";;
1870;"02.07.2018 12:52";"19_Краснова 17";"w w";"Технічне обслуговування холодильного обладнання";"КРІОТЕХСЕРВІС ПП";"03.07.2018 00:00";1512,00;Оплачена;;"Оплата за тех. обслуговування холод. обладнання (Краснова), зг. рах. № 1022 від 26.06.2018 р. в т.ч. ПДВ 252,00 грн. "
1869;"02.07.2018 12:51";"140_пр-т. Академіка Корольова, 10";"w w";"Технічне обслуговування холодильного обладнання";"КРІОТЕХСЕРВІС ПП";"03.07.2018 00:00";468,00;Оплачена;;"Оплата за тех. обслуговування холод. обладнання (Корольова), зг. рах. № 1021 від 25.06.2018 р. в т.ч. ПДВ 78,00 грн.  "
1868;"02.07.2018 12:50";"Управління з операційної роботи";"w w";"Технічне обслуговування холодильного обладнання";"КРІОТЕХСЕРВІС ПП";"04.07.2018 00:00";26556,00;Директор;"Васильківська 42; Коломийський 17/31; Деміївська 13; Науки 62; Моторний 9; Курбаса 9в; Корольова 10; Чавдар 1; Драгоманова 31б; Кошиця 7; Ревуцького 36; Казанська 18; Бориспільська 43; Амосова 4; Повітрофлотський 43 ";"Оплата за тех. обслуговування холод. обладнання (Магазини), зг. рах. № 1019 від 25.06.2018 р. в т.ч. ПДВ 4426,00 грн. "
1867;"02.07.2018 12:45";"101_м. Вишгород, вул. Київська,2 прим. 73";"w w";"Технічне обслуговування холодильного обладнання";"КРІОТЕХСЕРВІС ПП";"04.07.2018 00:00";10113,60;Директор;;"Оплата за тех. обслуговування холод. обладнання (Вишгород_Київська), зг. рах. № 1017 від 19.06.2018 р. в т.ч. ПДВ 1685,60 грн. "
1866;"02.07.2018 12:44";"142_с. Соф.-Борщаг.вул.Соборна 126/14 прим.№1014";"w w";;"КРІОТЕХСЕРВІС ПП";"03.07.2018 00:00";420,00;"Доработка/ отменена";;
1865;"02.07.2018 12:43";"25_Руданського 4-6 літ.А";"w w";;"КРІОТЕХСЕРВІС ПП";"03.07.2018 00:00";2512,80;"Доработка/ отменена";;
1864;"02.07.2018 12:42";"30_Преображенська 10/17";"w w";;"КРІОТЕХСЕРВІС ПП";"03.07.2018 00:00";1434,00;"Доработка/ отменена";;
1863;"02.07.2018 12:41";"Управління з операційної роботи";"w w";"Технічне обслуговування холодильного обладнання";"КРІОТЕХСЕРВІС ПП";"04.07.2018 00:00";22418,40;Директор;"Вільямса 19/14; Вільямса 9; Вільямса 5; Ломоносова 52/3; Ломоносова 50/2; Ломоносова 46/1; Гарматна 38; П.Запорожця 14; Старосільська 52; Ломоносова 73д; Феодосійська 2л;Комбінатна 25а";"Оплата за тех. обслуговування холод. обладнання (Магазини), зг. рах. № 1012 від 19.06.2018 р. в т.ч. ПДВ 3736,40 грн. "
1862;"02.07.2018 12:36";"Управління з операційної роботи";"w w";;"КРІОТЕХСЕРВІС ПП";"03.07.2018 00:00";16132,80;"Доработка/ отменена";"Перемоги 142; Перемоги 125; Баумана 26; Зоологічна 8; Шамрило 1а; Протасів Яр 3; Оболонська 35; Пасхаліна 10; Стельмаха 6/1";
1861;"02.07.2018 12:32";"08_Перова 52а";"w w";;"КРІОТЕХСЕРВІС ПП";"03.07.2018 00:00";1260,00;"Доработка/ отменена";;
1860;"02.07.2018 12:31";"27_Преображенська 28";"w w";;"КРІОТЕХСЕРВІС ПП";"03.07.2018 00:00";702,00;"Доработка/ отменена";;
1859;"02.07.2018 12:30";"03_Закревського 75/2";"w w";;"КРІОТЕХСЕРВІС ПП";"03.07.2018 00:00";7598,40;"Доработка/ отменена";;
1828;"26.06.2018 13:10";"20_Градинська 9";"w w";;"КРІОТЕХСЕРВІС ПП";"03.07.2018 00:00";972,00;"Доработка/ отменена";;
